epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6228.23,0.91155,1.2324,1.18486,0.8369,0.76046,0.84282,0.72586,0.47615,0.73335,0.80501,0.000920846,0.000920846,0.000920846
75,6312.02,0.90388,1.22822,1.17603,0.83014,0.77079,0.84341,0.72666,0.47497,0.74292,0.80456,0.000918725,0.000918725,0.000918725
76,6396.12,0.90036,1.21905,1.18119,0.82792,0.77741,0.844,0.72788,0.47321,0.72755,0.80412,0.000916577,0.000916577,0.000916577
77,6480.09,0.90061,1.20807,1.1796,0.82191,0.78657,0.84457,0.72876,0.47064,0.72799,0.80371,0.000914405,0.000914405,0.000914405
78,6564.48,0.89912,1.20861,1.17784,0.81696,0.79067,0.84507,0.73058,0.46811,0.7347,0.80331,0.000912207,0.000912207,0.000912207
79,6650.12,0.8944,1.20656,1.17444,0.80914,0.79231,0.84448,0.73156,0.46683,0.73867,0.80363,0.000909984,0.000909984,0.000909984
80,6733.67,0.89657,1.20333,1.1765,0.81018,0.79638,0.84534,0.73275,0.46727,0.7336,0.80415,0.000907736,0.000907736,0.000907736
81,6817.21,0.9021,1.18966,1.1778,0.80948,0.8011,0.84635,0.73406,0.46633,0.73575,0.80336,0.000905463,0.000905463,0.000905463
82,6901.84,0.89085,1.17409,1.17113,0.80924,0.80155,0.84652,0.73271,0.46712,0.73847,0.80341,0.000903166,0.000903166,0.000903166
83,6986.32,0.88399,1.18747,1.17449,0.81269,0.79969,0.8478,0.73409,0.46635,0.73619,0.80288,0.000900844,0.000900844,0.000900844
84,7070.27,0.88902,1.17881,1.17506,0.81493,0.79489,0.84859,0.73472,0.46537,0.74122,0.80203,0.000898497,0.000898497,0.000898497
85,7153.92,0.8911,1.1687,1.17074,0.8175,0.7951,0.84851,0.73485,0.46554,0.74495,0.80204,0.000896127,0.000896127,0.000896127
86,7237.96,0.8828,1.17034,1.16867,0.82887,0.78303,0.8485,0.73518,0.46611,0.75311,0.80141,0.000893732,0.000893732,0.000893732
87,7321.76,0.88026,1.16828,1.16993,0.81785,0.79134,0.84862,0.73568,0.46669,0.74884,0.80207,0.000891313,0.000891313,0.000891313
88,7405.7,0.88506,1.17377,1.17458,0.83946,0.77553,0.84967,0.73588,0.46715,0.74703,0.80257,0.00088887,0.00088887,0.00088887
89,7489.25,0.88142,1.1619,1.17001,0.85213,0.76495,0.84921,0.73629,0.46706,0.73548,0.80249,0.000886404,0.000886404,0.000886404
90,7572.93,0.87507,1.16175,1.16616,0.85353,0.7666,0.85021,0.7374,0.46584,0.73342,0.80202,0.000883914,0.000883914,0.000883914
91,7657.64,0.87408,1.14995,1.16375,0.85958,0.76221,0.8501,0.7377,0.46549,0.73577,0.8023,0.000881401,0.000881401,0.000881401
92,7741.84,0.8811,1.14899,1.16814,0.85574,0.76453,0.8508,0.73767,0.46474,0.73766,0.80248,0.000878864,0.000878864,0.000878864
93,7825.43,0.86848,1.13229,1.16005,0.85262,0.77083,0.8513,0.73831,0.46369,0.73447,0.80244,0.000876305,0.000876305,0.000876305
94,7909.08,0.87051,1.1493,1.16208,0.85381,0.77078,0.85253,0.7389,0.46319,0.73458,0.80271,0.000873723,0.000873723,0.000873723
95,7993.27,0.86175,1.13958,1.1549,0.85498,0.76959,0.85303,0.73954,0.46262,0.73174,0.80322,0.000871117,0.000871117,0.000871117
96,8076.8,0.86515,1.14084,1.15912,0.85791,0.76872,0.85323,0.73919,0.46198,0.73015,0.80338,0.00086849,0.00086849,0.00086849
97,8160.57,0.86247,1.13729,1.16212,0.8561,0.76965,0.85323,0.73969,0.46066,0.72831,0.80317,0.000865839,0.000865839,0.000865839
98,8244.62,0.86502,1.12398,1.16119,0.85681,0.76864,0.85324,0.74003,0.45961,0.73344,0.80273,0.000863167,0.000863167,0.000863167
99,8329.26,0.85674,1.10659,1.15621,0.85827,0.76769,0.85384,0.74094,0.4587,0.73244,0.8024,0.000860473,0.000860473,0.000860473
100,8413.01,0.8629,1.10751,1.15698,0.83865,0.78201,0.85419,0.74151,0.45825,0.73207,0.80182,0.000857756,0.000857756,0.000857756
101,8496.88,0.85054,1.09772,1.14955,0.83486,0.78682,0.85437,0.74192,0.45738,0.73024,0.80153,0.000855018,0.000855018,0.000855018
102,8582.19,0.86103,1.10417,1.15742,0.8337,0.78982,0.85481,0.74262,0.45675,0.72623,0.80112,0.000852258,0.000852258,0.000852258
103,8666.15,0.85927,1.10491,1.15444,0.83332,0.79283,0.85536,0.74361,0.45532,0.72232,0.80036,0.000849477,0.000849477,0.000849477
104,8749.7,0.8444,1.08989,1.15056,0.8358,0.79024,0.85579,0.74436,0.45464,0.72269,0.79997,0.000846674,0.000846674,0.000846674
105,8833.61,0.85545,1.10451,1.15193,0.83942,0.79014,0.8562,0.74504,0.45425,0.72423,0.7996,0.000843851,0.000843851,0.000843851
106,8917.11,0.84421,1.08825,1.1502,0.83839,0.79163,0.85667,0.74559,0.45355,0.72669,0.79928,0.000841006,0.000841006,0.000841006
107,9000.83,0.85287,1.08737,1.15244,0.82756,0.79995,0.85725,0.74608,0.45272,0.72364,0.79894,0.000838141,0.000838141,0.000838141
108,9084.77,0.83895,1.06768,1.14447,0.82999,0.79912,0.85758,0.74648,0.45203,0.72345,0.79875,0.000835255,0.000835255,0.000835255
109,9168.44,0.84246,1.08495,1.1478,0.8249,0.80135,0.85803,0.74743,0.45158,0.72177,0.79856,0.000832349,0.000832349,0.000832349
110,9252.18,0.84117,1.07298,1.14935,0.84568,0.78334,0.85815,0.74784,0.45113,0.72321,0.79834,0.000829423,0.000829423,0.000829423
111,9336.57,0.84152,1.07349,1.14595,0.84719,0.78459,0.8583,0.74849,0.45044,0.72329,0.79812,0.000826477,0.000826477,0.000826477
112,9420.32,0.84093,1.07306,1.14907,0.85105,0.77888,0.85873,0.74829,0.4495,0.72224,0.79739,0.000823511,0.000823511,0.000823511
113,9504.27,0.83469,1.06403,1.14598,0.85297,0.77613,0.859,0.74824,0.44901,0.71968,0.79701,0.000820525,0.000820525,0.000820525
114,9587.8,0.83245,1.0687,1.14662,0.83822,0.79205,0.85923,0.74895,0.44833,0.72044,0.79667,0.00081752,0.00081752,0.00081752
115,9672.26,0.8353,1.06789,1.1441,0.83966,0.7919,0.85931,0.74929,0.44815,0.72006,0.79652,0.000814495,0.000814495,0.000814495
116,9755.83,0.8119,1.02768,1.13166,0.83967,0.79348,0.85989,0.75005,0.44752,0.7179,0.79567,0.000811452,0.000811452,0.000811452
117,9839.74,0.82539,1.03908,1.14068,0.84197,0.79306,0.86011,0.75019,0.44742,0.71557,0.79552,0.000808389,0.000808389,0.000808389
