epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,9069.6,0.8836,1.26084,1.22437,0.8266,0.7459,0.83134,0.72942,0.43879,1.09417,0.79334,0.000946048,0.000946048,0.000946048
62,9217.93,0.88565,1.25939,1.22181,0.80082,0.76654,0.83484,0.73223,0.44259,1.04127,0.79454,0.00094427,0.00094427,0.00094427
63,9365.77,0.87812,1.24403,1.21839,0.81873,0.75754,0.83807,0.7378,0.43923,1.01633,0.79407,0.000942464,0.000942464,0.000942464
64,9515,0.86732,1.22592,1.21304,0.83086,0.75107,0.84002,0.73926,0.43763,0.96272,0.79499,0.000940631,0.000940631,0.000940631
65,9662.91,0.86971,1.2277,1.20979,0.83377,0.7517,0.84431,0.74193,0.43525,0.90299,0.79315,0.000938772,0.000938772,0.000938772
66,9810.75,0.86692,1.23212,1.21203,0.85164,0.74079,0.84345,0.74262,0.42872,0.8805,0.78972,0.000936886,0.000936886,0.000936886
67,9959,0.86437,1.20644,1.20609,0.81705,0.77138,0.84437,0.74444,0.42748,0.81945,0.78772,0.000934973,0.000934973,0.000934973
68,10109.2,0.85513,1.20397,1.20408,0.81355,0.77583,0.84522,0.74522,0.42737,0.83913,0.78634,0.000933033,0.000933033,0.000933033
69,10257.6,0.86369,1.21774,1.2066,0.85805,0.74726,0.84376,0.74436,0.42563,0.79984,0.78455,0.000931067,0.000931067,0.000931067
70,10406.2,0.85159,1.19428,1.20334,0.82032,0.77535,0.84406,0.74596,0.42623,0.78686,0.7854,0.000929075,0.000929075,0.000929075
71,10554.3,0.85418,1.18921,1.20036,0.83988,0.76086,0.84433,0.74626,0.42391,0.8115,0.78544,0.000927057,0.000927057,0.000927057
72,10702.3,0.8474,1.17641,1.19948,0.82994,0.77066,0.84608,0.74703,0.42331,0.80958,0.78551,0.000925013,0.000925013,0.000925013
73,10850.4,0.85346,1.17587,1.1996,0.81339,0.78004,0.84699,0.74862,0.42004,0.80711,0.78314,0.000922942,0.000922942,0.000922942
74,10999.5,0.85391,1.18029,1.20057,0.80383,0.79571,0.84889,0.75018,0.41707,0.82299,0.78172,0.000920846,0.000920846,0.000920846
75,11148.8,0.83844,1.16115,1.1865,0.83899,0.76456,0.84849,0.75008,0.4151,0.82701,0.78154,0.000918725,0.000918725,0.000918725
76,11297.2,0.83755,1.15484,1.19319,0.84091,0.76516,0.85003,0.75133,0.41353,0.81106,0.77962,0.000916577,0.000916577,0.000916577
77,11445.5,0.83927,1.14876,1.19045,0.84401,0.76472,0.85141,0.75343,0.4113,0.81865,0.77884,0.000914405,0.000914405,0.000914405
78,11594.3,0.83601,1.14831,1.19038,0.84545,0.76558,0.85229,0.75509,0.41021,0.82386,0.77904,0.000912207,0.000912207,0.000912207
79,11742.7,0.83406,1.15476,1.18987,0.84564,0.76726,0.85269,0.75586,0.40898,0.82568,0.77883,0.000909984,0.000909984,0.000909984
80,11891,0.83542,1.13608,1.18848,0.8261,0.78273,0.85419,0.75887,0.40755,0.80164,0.77794,0.000907736,0.000907736,0.000907736
81,12039.5,0.83711,1.13961,1.18518,0.84835,0.76822,0.85423,0.75955,0.40714,0.8101,0.77813,0.000905463,0.000905463,0.000905463
82,12189.2,0.83024,1.12741,1.18167,0.8458,0.77375,0.85487,0.75984,0.40675,0.80698,0.77831,0.000903166,0.000903166,0.000903166
83,12339.2,0.82558,1.13296,1.1874,0.8478,0.77702,0.85627,0.76168,0.40544,0.80723,0.77775,0.000900844,0.000900844,0.000900844
84,12488.7,0.82566,1.11968,1.18496,0.84615,0.77891,0.85684,0.76169,0.40445,0.82389,0.77752,0.000898497,0.000898497,0.000898497
85,12637.4,0.82261,1.1165,1.18361,0.85517,0.77234,0.85808,0.76304,0.4042,0.82469,0.7778,0.000896127,0.000896127,0.000896127
86,12785.8,0.81938,1.10642,1.18099,0.85998,0.76914,0.85917,0.76413,0.40382,0.82292,0.77761,0.000893732,0.000893732,0.000893732
87,12934.5,0.81708,1.10256,1.18083,0.86568,0.76665,0.86053,0.76535,0.40337,0.82144,0.77751,0.000891313,0.000891313,0.000891313
88,13083,0.82181,1.10346,1.17992,0.87294,0.7659,0.86202,0.76697,0.40269,0.81277,0.77763,0.00088887,0.00088887,0.00088887
