epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,13439.1,0.70144,0.81923,1.17188,0.86231,0.8037,0.86385,0.7752,0.37749,0.5082,0.80414,0.000946048,0.000946048,0.000946048
62,13659.1,0.6968,0.8251,1.17038,0.86534,0.81072,0.86614,0.77701,0.37431,0.49631,0.80542,0.00094427,0.00094427,0.00094427
63,13879,0.6997,0.81877,1.17488,0.88197,0.79499,0.86649,0.77868,0.37606,0.50405,0.8082,0.000942464,0.000942464,0.000942464
64,14099,0.69374,0.80576,1.16069,0.88018,0.80084,0.86571,0.78022,0.36991,0.50075,0.80065,0.000940631,0.000940631,0.000940631
65,14318.7,0.69262,0.81122,1.16028,0.88149,0.79957,0.86702,0.78256,0.3662,0.52115,0.79596,0.000938772,0.000938772,0.000938772
66,14540.6,0.68845,0.80489,1.15924,0.86897,0.81004,0.8673,0.7816,0.36812,0.54744,0.79762,0.000936886,0.000936886,0.000936886
67,14760.6,0.69075,0.79903,1.16115,0.87893,0.79982,0.86877,0.78328,0.36684,0.55998,0.79857,0.000934973,0.000934973,0.000934973
68,14980.6,0.6768,0.80414,1.15919,0.88125,0.8009,0.86862,0.78285,0.36822,0.56082,0.80184,0.000933033,0.000933033,0.000933033
69,15200.7,0.68811,0.80509,1.15875,0.87698,0.80574,0.86807,0.78239,0.3689,0.52656,0.80592,0.000931067,0.000931067,0.000931067
70,15420.4,0.68622,0.79885,1.16569,0.86753,0.8098,0.86739,0.78198,0.36957,0.52728,0.80674,0.000929075,0.000929075,0.000929075
71,15641.7,0.6922,0.79647,1.1643,0.87837,0.80451,0.86715,0.78152,0.36926,0.54442,0.80691,0.000927057,0.000927057,0.000927057
72,15863.4,0.68325,0.78997,1.16106,0.86849,0.81318,0.86847,0.78276,0.36777,0.56326,0.80576,0.000925013,0.000925013,0.000925013
73,16082.6,0.68995,0.80622,1.1616,0.85717,0.81929,0.86881,0.78325,0.36664,0.5599,0.80556,0.000922942,0.000922942,0.000922942
74,16301.9,0.69427,0.79521,1.16567,0.85893,0.81885,0.86896,0.78539,0.36499,0.55073,0.80506,0.000920846,0.000920846,0.000920846
75,16521.9,0.68594,0.79874,1.15835,0.86584,0.81945,0.86879,0.78486,0.36389,0.54148,0.80415,0.000918725,0.000918725,0.000918725
76,16743.3,0.68256,0.7948,1.16053,0.87449,0.81156,0.86976,0.78637,0.36245,0.53027,0.8036,0.000916577,0.000916577,0.000916577
77,16963.3,0.68086,0.78584,1.1548,0.88803,0.80327,0.87074,0.78621,0.36193,0.53115,0.80288,0.000914405,0.000914405,0.000914405
78,17182.7,0.68198,0.78644,1.15796,0.86455,0.81379,0.87182,0.78775,0.35958,0.53022,0.80111,0.000912207,0.000912207,0.000912207
79,17402.9,0.67341,0.78344,1.14956,0.87025,0.81141,0.87225,0.78899,0.35754,0.53559,0.79919,0.000909984,0.000909984,0.000909984
80,17623.7,0.67936,0.78052,1.15274,0.85784,0.82396,0.872,0.78942,0.35655,0.54646,0.79817,0.000907736,0.000907736,0.000907736
81,17843.8,0.68202,0.77756,1.15663,0.86001,0.82027,0.8715,0.78935,0.35586,0.55051,0.79799,0.000905463,0.000905463,0.000905463
82,18063.5,0.67306,0.77144,1.14917,0.85677,0.82315,0.87147,0.7901,0.35561,0.55203,0.79827,0.000903166,0.000903166,0.000903166
83,18284.2,0.67634,0.77665,1.15363,0.85855,0.81981,0.87224,0.79066,0.35436,0.54989,0.79667,0.000900844,0.000900844,0.000900844
84,18504.3,0.6768,0.77471,1.14648,0.87885,0.80602,0.87224,0.79093,0.35373,0.56008,0.79567,0.000898497,0.000898497,0.000898497
85,18726,0.67008,0.76164,1.14205,0.87248,0.81122,0.87294,0.79101,0.35369,0.56968,0.79584,0.000896127,0.000896127,0.000896127
86,18946.5,0.67449,0.76665,1.15134,0.86856,0.8136,0.87261,0.79128,0.35384,0.58039,0.79615,0.000893732,0.000893732,0.000893732
87,19166.8,0.67919,0.77792,1.15613,0.87731,0.80747,0.87229,0.79086,0.35426,0.58472,0.79677,0.000891313,0.000891313,0.000891313
88,19386.3,0.67283,0.77533,1.1529,0.87539,0.81146,0.87196,0.79054,0.35421,0.58975,0.79698,0.00088887,0.00088887,0.00088887
89,19606,0.67772,0.77162,1.1511,0.87253,0.81394,0.87152,0.78937,0.35425,0.5925,0.79689,0.000886404,0.000886404,0.000886404
90,19825.4,0.66958,0.76986,1.14076,0.86824,0.81733,0.87174,0.78941,0.35368,0.59182,0.79652,0.000883914,0.000883914,0.000883914
91,20045.5,0.66986,0.76456,1.14505,0.87235,0.8172,0.87164,0.78914,0.35372,0.59691,0.79655,0.000881401,0.000881401,0.000881401
92,20265.6,0.67529,0.76823,1.14563,0.87619,0.81494,0.872,0.78884,0.35375,0.59889,0.7969,0.000878864,0.000878864,0.000878864
93,20484.8,0.66957,0.7609,1.14334,0.87687,0.81769,0.87166,0.78824,0.35385,0.6068,0.79712,0.000876305,0.000876305,0.000876305
94,20704.8,0.66599,0.75968,1.14142,0.87638,0.81717,0.87114,0.7877,0.35337,0.60926,0.79688,0.000873723,0.000873723,0.000873723
